"filename", "language", "JavaScript", "HTML", "JSON", "JavaScript JSX", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\About\pages\SKECT.jsx", "JavaScript JSX", 0, 0, 0, 168, 0, 0, 0, 0, 5, 173
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\About\pages\StatutoryRecognition.jsx", "JavaScript JSX", 0, 0, 0, 316, 0, 0, 0, 0, 4, 320
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\About\pages\UniversityOfficers.jsx", "JavaScript JSX", 0, 0, 0, 59, 0, 0, 0, 10, 6, 75
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\About\pages\VisionMission.jsx", "JavaScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 7, 231
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\FacultiesNew\FacultyOfCommerceAndManagement\FacultyOfCommerceAndManagement.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\FacultiesNew\FacultyOfEngineeringAndTechnology\FacultyOfEngineeringAndTechnology.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\FacultiesNew\FacultyOfHumanitiesAndPolicyStudies\FacultyOfHumanitiesAndPolicyStudies.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\FacultiesNew\FacultyOfMedicineAndHealthcare\FacultyOfMedicineAndHealthcare.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\FacultiesNew\FacultyOfSciences\FacultyOfSciences.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools.jsx", "JavaScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 11, 126
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfCommerceAndManagement\KrishnaSchoolOfBusinessManagement\KrishnaSchoolOfBusinessManagement.jsx", "JavaScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 17, 166
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfCommerceAndManagement\KrishnaSchoolOfCommerce\KrishnaSchoolOfCommerce.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 16, 151
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfEngineeringAndTechnology\Krishna SchoolOfEmergingTechnologyAndAppliedResearch\KrishnaSchoolOfEmergingTechnologyAndAppliedResearch.jsx", "JavaScript JSX", 0, 0, 0, 210, 0, 0, 0, 0, 16, 226
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfEngineeringAndTechnology\KrishnaSchoolOfDiplomaStudies\KrishnaSchoolOfDiplomaStudies.jsx", "JavaScript JSX", 0, 0, 0, 168, 0, 0, 0, 0, 15, 183
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfEngineeringAndTechnology\KrishnaSchoolOfTechnology\KrishnaSchoolOfTechnology.jsx", "JavaScript JSX", 0, 0, 0, 173, 0, 0, 0, 0, 18, 191
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfHumanitiesAndPolicyStudies\KrishnaSchoolOfArtsAndHumanities\KrishnaSchoolOfArtsAndHumanities.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 16, 151
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfMedicineAndHealthcare\KrishnaAyurvedMedicalCollege\KrishnaAyurvedMedicalCollege.jsx", "JavaScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 20, 153
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfMedicineAndHealthcare\KrishnaSchoolOfNursing\KrishnaSchoolOfNursing.jsx", "JavaScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 20, 161
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfMedicineAndHealthcare\KrishnaSchoolOfPharmacyAndResearch\KrishnaSchoolOfPharmacyAndResearch.jsx", "JavaScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 18, 185
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfMedicineAndHealthcare\KrishnaSchoolOfPhysiotherapyAndRehabilitation\KrishnaSchoolOfPhysiotherapyAndRehabilitation.jsx", "JavaScript JSX", 0, 0, 0, 161, 0, 0, 0, 0, 17, 178
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Academic\Schools\FacultyOfSciences\KrishnaSchoolOfSciences\KrishnaSchoolOfSciences.jsx", "JavaScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 19, 160
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\Admission.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 6, 79
